,id,alias,name,image_url,is_closed,url,review_count,rating,price,phone,display_phone,distance,category,latitude,longitude,is_pickup,is_delivery,address1,address2,address3,city,zip_code,country,state,display_address
0,n3KaV4ojMr34zdnJBTvRAw,aladdin-falafel-corner-seattle-2,Aladdin Falafel Corner,https://s3-media4.fl.yelpcdn.com/bphoto/ufQPl_gB-bGNYfVFx5jSew/o.jpg,False,https://www.yelp.com/biz/aladdin-falafel-corner-seattle-2?adjust_creative=1Gg6xtq-iO6p-yn2SrQWIA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1Gg6xtq-iO6p-yn2SrQWIA,445,4.5,$$,+12065489539,(206) 548-9539,4444.492979809,Mediterranean,47.66244,-122.31344,pickup,delivery,4541 University Way NE,,,Seattle,98105,US,WA,"['4541 University Way NE', 'Seattle, WA 98105']"
1,4nQXdT9DPYJFh-HC3EmuEw,monster-dogs-seattle,Monster Dogs,https://s3-media2.fl.yelpcdn.com/bphoto/Cb_nMT2ifp9JmPD1fTxx1w/o.jpg,False,https://www.yelp.com/biz/monster-dogs-seattle?adjust_creative=1Gg6xtq-iO6p-yn2SrQWIA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1Gg6xtq-iO6p-yn2SrQWIA,56,4.5,$,+18885714447,(888) 571-4447,1568.9759852581,Hot Dogs,47.613416,-122.346515,,,1st & Bell,,,Seattle,98101,US,WA,"['1st & Bell', 'Seattle, WA 98101']"
2,6cGW6DTYtkv2KAx4dsRKxQ,al-bacha-restaurant-seattle,Al Bacha Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/DV8LXtAscNacZPUNQLGmcA/o.jpg,False,https://www.yelp.com/biz/al-bacha-restaurant-seattle?adjust_creative=1Gg6xtq-iO6p-yn2SrQWIA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1Gg6xtq-iO6p-yn2SrQWIA,97,4.5,$$,+12064135870,(206) 413-5870,1321.5508077906,Mediterranean,47.6186249212,-122.3210424406,pickup,delivery,1833 Broadway,,,Seattle,98122,US,WA,"['1833 Broadway', 'Seattle, WA 98122']"
3,XIdmWw-OMx5nhpuTSdxYlQ,aladdin-gyro-cery-seattle,Aladdin Gyro-Cery,https://s3-media1.fl.yelpcdn.com/bphoto/CuRDPK46KD6AzYRUeupdrQ/o.jpg,False,https://www.yelp.com/biz/aladdin-gyro-cery-seattle?adjust_creative=1Gg6xtq-iO6p-yn2SrQWIA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1Gg6xtq-iO6p-yn2SrQWIA,478,4.0,$,+12066325253,(206) 632-5253,3987.2999876576,Greek,47.65805,-122.31346,pickup,delivery,4139 University Way NE,,,Seattle,98105,US,WA,"['4139 University Way NE', 'Seattle, WA 98105']"
4,KFH3QClCI_sPGjNiAwRh1w,fat-shack-seattle-2,Fat Shack,https://s3-media3.fl.yelpcdn.com/bphoto/frhefLJBHbM0zuZIczrf9w/o.jpg,False,https://www.yelp.com/biz/fat-shack-seattle-2?adjust_creative=1Gg6xtq-iO6p-yn2SrQWIA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1Gg6xtq-iO6p-yn2SrQWIA,48,3.5,,+12066821139,(206) 682-1139,2619.6470197363,Sandwiches,47.60199,-122.33475,pickup,delivery,88 Yesler Way,,,Seattle,98104,US,WA,"['88 Yesler Way', 'Seattle, WA 98104']"
5,XQcSFSkoD7N_VcFGbMmobw,burger-and-kabob-hut-seattle,Burger and Kabob Hut,https://s3-media2.fl.yelpcdn.com/bphoto/cfUZ-Jk870Ss1B-UdkTDiw/o.jpg,False,https://www.yelp.com/biz/burger-and-kabob-hut-seattle?adjust_creative=1Gg6xtq-iO6p-yn2SrQWIA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1Gg6xtq-iO6p-yn2SrQWIA,331,4.0,$,+12066320324,(206) 632-0324,4011.0110406658,Burgers,47.65815,-122.31301,delivery,,4142 University Way NE,,,Seattle,98105,US,WA,"['4142 University Way NE', 'Seattle, WA 98105']"
6,UNtJzbKptTedOevZmRloWA,california-burrito-taco-shop-des-moines,California Burrito Taco Shop,https://s3-media2.fl.yelpcdn.com/bphoto/_nHMrWb819UFR0eYSQOreA/o.jpg,False,https://www.yelp.com/biz/california-burrito-taco-shop-des-moines?adjust_creative=1Gg6xtq-iO6p-yn2SrQWIA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1Gg6xtq-iO6p-yn2SrQWIA,249,3.5,$,+12065929561,(206) 592-9561,25542.5603796047,Mexican,47.3973031,-122.2955143,delivery,,22660 Pacific Hwy S,,,Des Moines,98198,US,WA,"['22660 Pacific Hwy S', 'Des Moines, WA 98198']"
7,Gm-qCQeUd3Tkj3gojCzPbA,al-basha-seattle,Al Basha,https://s3-media3.fl.yelpcdn.com/bphoto/Dcmys6UwMSP5Dl8Usmy8ww/o.jpg,False,https://www.yelp.com/biz/al-basha-seattle?adjust_creative=1Gg6xtq-iO6p-yn2SrQWIA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1Gg6xtq-iO6p-yn2SrQWIA,221,4.0,$$,+12064414811,(206) 441-4811,1543.6311581735,Mediterranean,47.61364,-122.3466,pickup,delivery,2302 1st Ave,,,Seattle,98121,US,WA,"['2302 1st Ave', 'Seattle, WA 98121']"
8,3j0mbVydssyv8qXAEmvHGw,shawarma-king-seattle-7,Shawarma King,https://s3-media1.fl.yelpcdn.com/bphoto/uDG1uQjgfxybgbP9jqkaxA/o.jpg,False,https://www.yelp.com/biz/shawarma-king-seattle-7?adjust_creative=1Gg6xtq-iO6p-yn2SrQWIA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1Gg6xtq-iO6p-yn2SrQWIA,254,4.0,$,+12064201484,(206) 420-1484,4279.5346384209,Mediterranean,47.66093,-122.31359,pickup,,4337 University Way NE,,,Seattle,98105,US,WA,"['4337 University Way NE', 'Seattle, WA 98105']"
9,4rOrKiMDXr2ZlqzAZd2vSA,pho-t-q-kent-4,Pho T-Q,https://s3-media2.fl.yelpcdn.com/bphoto/9WlHdVFDiaSiTd34LwyDqQ/o.jpg,False,https://www.yelp.com/biz/pho-t-q-kent-4?adjust_creative=1Gg6xtq-iO6p-yn2SrQWIA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1Gg6xtq-iO6p-yn2SrQWIA,218,4.0,$,+12538568800,(253) 856-8800,25729.2437898771,Vietnamese,47.4141768151,-122.1956789818,delivery,,20942 108th Ave SE,,,Kent,98031,US,WA,"['20942 108th Ave SE', 'Kent, WA 98031']"
10,GoWeog3TbHM6SL9dL_AnTA,jade-garden-seattle,Jade Garden,https://s3-media3.fl.yelpcdn.com/bphoto/BKnlM9XP1VUjDVBJIS2RxA/o.jpg,False,https://www.yelp.com/biz/jade-garden-seattle?adjust_creative=1Gg6xtq-iO6p-yn2SrQWIA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1Gg6xtq-iO6p-yn2SrQWIA,1516,3.5,$$,+12066228181,(206) 622-8181,3125.1711177169,Dim Sum,47.5985020714,-122.3235154152,delivery,,424 7th Ave S,,,Seattle,98104,US,WA,"['424 7th Ave S', 'Seattle, WA 98104']"
